id,area,feature,user_story,expected_behavior,source_of_truth,current_automated_coverage,manual_status,observed_errors,fix_status,last_verified,evidence
YS-020,Markdown,Preview-only mode,"As a reviewer, I want a preview-only mode so wide reports can be read without the source pane taking space.","The view toggle changes preview-only class, persists to localStorage, and can be toggled back.","v2/src/ui/app.mbt; README.md:98","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-021,Markdown,Heading collapse,"As a reviewer, I want heading arrows to collapse and expand sections so long reports are easier to scan.","Heading arrows toggle collapsed state for the section below the heading without breaking comments or preview/source mapping.","v2/src/ui/heading_toggles.mbt; README.md:99","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed"
YS-022,Markdown,HTML align support,"As a report author, I want simple aligned HTML blocks to survive parsing so existing report fragments render acceptably.","Supported HTML such as p align center is preserved or rendered safely, and subsequent Markdown still parses correctly.","v2/src/core/markdown_test.mbt","v2/src/core/markdown_test.mbt","verified-pass","","none","2026-06-22","moon test via npm test passed"
YS-023,Markdown,Yunomi questions frontmatter,"As a report author, I want unresolved questions in frontmatter to render in the submit flow so reviewers answer required prompts.","Frontmatter yunomi.questions parses id, question, options, resolved state, and answers; submit serializes answers as JSON when present and omits empty answers.","v2/src/core/markdown_test.mbt; v2/src/server/main.mbt:1226","v2/src/core/markdown_test.mbt; v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-024,Markdown,Media embed discipline,"As an AI agent, I want yunomi to reject media written as plain links so evidence is visible to the human reviewer.","Markdown files with media paths in [text](path) links exit 1 with actionable fix suggestions; embedded ![alt](path) media is accepted; code spans/fences and non-media links are ignored.","v2/src/server/main.mbt:270; v2/src/core/media_lint.mbt; README.md:85","v2/e2e/media_discipline.ts; v2/src/core/media_lint_test.mbt","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-025,Media,Media sidebar thumbnails,"As a reviewer, I want all images, videos, and diagrams listed in a sidebar so I can jump through evidence quickly.","Sidebar renders a thumbnail for every detected media item, with visible media content and no separate 45vw viewer panel.","v2/src/ui/media_sidebar.mbt; README.md:79","v2/e2e/media_sidebar_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-026,Media,Media sidebar keyboard navigation,"As a reviewer, I want ArrowUp/ArrowDown and j/k to move through media so I can inspect evidence from the keyboard.","ArrowDown/j move to next media; ArrowUp/k move to previous media; selection highlights target media; Escape clears active selection and highlight.","v2/src/ui/media_sidebar.mbt; README.md:82","v2/e2e/media_sidebar_regression.ts; v2/e2e/comment_shortcuts_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-027,Media,Horizontal video timeline navigation,"As a reviewer, I want ArrowLeft/ArrowRight or h/l to move within an inline video timeline without changing which media item is selected.","When a video timeline is focused or selected via sidebar, horizontal keys seek between timeline thumbnails while keeping the same active media item.","v2/src/ui/media_sidebar.mbt; v2/src/ui/video_timeline.mbt","v2/e2e/media_sidebar_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-028,Media,Dialog shortcut blocking,"As a reviewer entering text or submitting, I want media/comment shortcuts disabled so typing does not move the UI unexpectedly.","When submit modal, recovery modal, question modal, comment card, inputs, or textareas are active, hjkl/arrow media navigation and i/Enter comment shortcuts do not trigger background navigation.","v2/src/ui/app.mbt; v2/src/ui/media_sidebar.mbt","v2/e2e/media_sidebar_regression.ts; v2/e2e/comment_shortcuts_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-029,Media,Inline video timeline thumbnails,"As a reviewer, I want inline videos to show scene thumbnails so I can jump to meaningful moments without opening fullscreen.","Inline video timeline reserves layout space, loads thumbnails when visible, shows time labels below thumbnails, and labels do not overlap thumbnail images.","v2/src/ui/video_timeline.mbt; docs/video-timeline-feature.md","v2/e2e/media_sidebar_regression.ts; v2/e2e/video_timeline.ts","verified-pass","","none","2026-06-22","video_timeline.ts 15 passed; added to npm test route"
YS-030,Media,Fullscreen image viewer,"As a reviewer, I want clicking preview images to open a fullscreen view so I can inspect images closely.","Clicking an image opens fullscreen overlay; Escape or backdrop click closes it; source line remains/comment target can be selected.","v2/src/ui/app.mbt; README.md:90","v2/e2e/pr_verification.ts; v2/e2e/_verify_ui_fixes.ts","verified-pass","pr_verification initially expected stale #modal-submit selector after submit modal opened","fixed","2026-06-22","pr_verification Test A passed; _verify_ui_fixes passed"
YS-031,Media,Fullscreen video viewer,"As a reviewer, I want clicking videos to open fullscreen playback with timeline thumbnails and keyboard controls so video evidence is inspectable.","Clicking video opens fullscreen viewer; timeline labels arrive; fullscreen keyboard controls work; settings panel opens and selected state updates.","v2/src/ui/app.mbt; v2/src/ui/video_timeline.mbt; README.md:91","v2/e2e/media_sidebar_regression.ts partially; v2/e2e/video_timeline.ts not in npm test","verified-pass","","none","2026-06-22","npm test covers viewer open/settings; video_timeline.ts has separate deeper coverage"
YS-032,Media,Mermaid rendering,"As a report author, I want Mermaid diagrams to render inline so architecture and flow diagrams are readable.","Mermaid code fences render as diagrams, appear in the media sidebar, and can be inspected without breaking normal Markdown source mapping.","v2/src/core/markdown.mbt; v2/src/ui/media_sidebar.mbt; README.md:68","v2/e2e/media_sidebar_regression.ts; v2/e2e/preview_interaction_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-033,Media,Mermaid fullscreen minimap,"As a reviewer, I want large Mermaid diagrams to open fullscreen with pan/zoom minimap so complex diagrams remain readable.","Fullscreen Mermaid minimap follows visible region after open, pan, and zoom within tolerance.","v2/src/ui/zoom_pan_viewer.mbt; README.md:182","v2/e2e/media_sidebar_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-034,Comments,Comment card open/save/delete,"As a reviewer, I want clicking a cell/line/preview target to open a comment card so I can add, update, or delete feedback anchored to content.","Comment card opens near the target, shows target preview, allows text entry, save, delete, and selected-line copy where applicable.","v2/src/ui/app.mbt; README.md:161","v2/e2e/smoke.ts; v2/e2e/preview_interaction_regression.ts; v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed for save/copy/delete lifecycle"
YS-035,Comments,Always-visible preview comment buttons,"As a reviewer, I want a consistent comment button on markdown, image, video, and timeline targets so I do not need to discover click-only comment behavior.","Comment buttons are installed on eligible preview targets, hidden from extracted target text, stay behind dialogs, and open comment cards for markdown, image, video, and timeline thumbnail targets.","v2/src/ui/dom.mbt; v2/src/ui/app.mbt","v2/e2e/comment_shortcuts_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-036,Comments,Keyboard comment shortcuts,"As a keyboard user, I want i or Enter to open the selected comment target so I can comment without using the mouse.","i and Enter open the card for the current selected target; shortcuts are blocked while dialogs or text inputs are active.","v2/src/ui/app.mbt","v2/e2e/comment_shortcuts_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-037,Comments,Table cell keyboard movement,"As a table reviewer, I want Shift+h/l to move horizontally between cells so I can comment on adjacent table values efficiently.","Starting from a selected table cell, Shift+l moves right and Shift+h moves left; Enter opens the selected cell's comment card.","v2/src/ui/app.mbt","v2/e2e/comment_shortcuts_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-038,Comments,Shift+j/k non-feature guard,"As a reviewer, I want removed unstable Shift+j/k behavior to stay removed so vertical oscillation does not return.","Shift+j/k do not move comment selection and do not double-fire media sidebar movement; normal j/k media navigation remains active.","v2/src/ui/app.mbt; v2/src/ui/media_sidebar.mbt","v2/e2e/comment_shortcuts_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-039,Comments,Drag selection,"As a reviewer, I want to drag across rows/cells to create batch comments so multi-line or rectangular feedback is efficient.","Dragging selects rectangular table regions or multiple rows, then opens or anchors a batch comment to the selected range.","v2/src/ui/app.mbt; README.md:101","v2/e2e/smoke.ts; v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed for multi-row drag selection"
YS-040,Comments,Comment persistence and recovery,"As a reviewer, I want in-progress comments to be auto-saved so accidental reloads or closes do not lose work.","Comments are saved to localStorage with timestamp, old/incompatible data is rejected, restore/discard modal appears, restore skips empty entries, and expired data is handled.","v2/src/ui/app.mbt; v2/e2e/smoke.ts; README.md:103","v2/e2e/smoke.ts; v2/e2e/preview_interaction_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-041,Comments,Comment image attachments,"As a reviewer, I want to paste an image into a comment so visual feedback can accompany text.","Comment card has an image preview area; paste renders data:image preview; saved comments show an image indicator.","v2/src/ui/app.mbt; README.md:104","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-042,Submit,Submit modal open,"As a reviewer, I want Cmd/Ctrl+Enter or Submit & Exit to open a final review dialog so I can choose a verdict and summary.","Keyboard shortcut and button open submit modal; comment input Cmd/Ctrl+Enter saves comment without opening submit modal.","v2/src/ui/app.mbt; README.md:106","v2/e2e/preview_interaction_regression.ts; v2/e2e/tab_lifecycle.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-043,Submit,Submit YAML output,"As an AI agent, I want submit output as structured YAML so I can parse decision, summary, answers, and comments.","Submit prints action, file, mode, comments, summary, decision, and optional answers without [object Object] coercion; comments quote source value.","v2/src/server/main.mbt:1219; v2/src/core/yaml.mbt; README.md:113","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-044,Submit,Decision actions,"As a reviewer, I want approve, request changes, handoff, and final approve actions represented in output so agents can continue the right workflow.","Submitting each decision/action exits server and includes the expected action/decision marker in YAML.","v2/src/ui/app.mbt; v2/src/server/main.mbt:1219","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-045,Submit,Submit image attachments,"As a reviewer, I want to attach images in the final submit dialog so final verdict can include visual proof or context.","Submit modal supports pasted images with visible counter and maximum attachment limit.","v2/src/ui/app.mbt; README.md:104","v2/e2e/_verify_ui_fixes.ts","verified-pass","","none","2026-06-22","_verify_ui_fixes passed: counter 0/10, cap 10/10"
YS-046,History,Review history panel,"As a reviewer, I want history to persist by file so I can revisit recent review submissions.","Submissions save to ~/.yunomi/history keyed by file path hash, trim to 50 entries, /history returns JSON, and UI history panel opens/closes.","v2/src/server/main.mbt:737; v2/src/ui/app.mbt; README.md:110","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-047,Session,Reload and close handling,"As a user, I want reloads not to terminate review, but final close to flush draft and exit when appropriate.","Browser reload keeps server alive; closing the latest active page exits and flushes draft; stale prior instances are ignored.","v2/src/server/main.mbt:1123; v2/src/server/main.mbt:1141; v2/e2e/smoke.ts","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-048,Session,Port-reuse stale tab retirement,"As a user, I want old tabs from a prior server session to retire when a new server reuses the port so stale tabs do not submit to the wrong session.","SSE hello provides instance id; same server reconnect keeps id; reused port gets new id; stale tabs close or park on about:blank and do not show new session content.","v2/src/server/main.mbt:39; v2/e2e/session_hello.ts; v2/e2e/tab_lifecycle.ts","v2/e2e/session_hello.ts; v2/e2e/tab_lifecycle.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-049,CSV,CSV rendering,"As a reviewer, I want CSV files rendered as a table so I can comment on rows and cells.","CSV files parse RFC4180-style content, render table rows/cells with data-row attributes, include recovery modal, and display cell values.","v2/src/core/csv.mbt; v2/src/server/main.mbt:633","v2/src/core/csv_test.mbt; v2/src/core/csv_v2_test.mbt; v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-050,TSV,TSV rendering,"As a reviewer, I want TSV files rendered like CSV tables so tab-separated data can be reviewed.","TSV files use tab delimiter, render table cells, and support the same commenting/recovery behavior as CSV.","v2/src/server/main.mbt:633; v2/src/server/main.mbt:588","v2/e2e/feature_matrix_regression.ts","verified-pass","TSV rendered as table but exposed __YUNOMI_MODE__ as csv before this pass","fixed","2026-06-22","feature_matrix_regression.ts passed"
YS-051,Text,Plain text rendering,"As a reviewer, I want plain text files rendered line-by-line so arbitrary notes/logs can be reviewed.","Plain text fallback splits content into rows and renders a table-like line review surface with comments available per line.","v2/src/server/main.mbt:666; v2/src/core/html.mbt","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed"
YS-052,Diff,Diff parsing,"As a code reviewer, I want unified diff files or stdin diffs rendered with file/hunk structure so changes are readable.","Unified diff parser handles git prefixes, multiple files, hunk headers, and builds syntax-highlighted diff HTML.","v2/src/core/diff.mbt; v2/src/server/main.mbt:645","v2/src/core/diff_test.mbt; v2/src/core/diff_v2_test.mbt; v2/src/core/diff_html_v2_test.mbt","verified-pass","","none","2026-06-22","moon test via npm test passed"
YS-053,Diff,Diff server mode,"As a user, I want .diff/.patch files and stdin diff to open in diff mode so git changes can be reviewed.","Diff files and piped stdin generate diff-mode HTML and support submit output; smoke checks stdin and diff server behavior.","v2/src/server/main.mbt:679; v2/src/server/main.mbt:645","v2/e2e/smoke.ts; v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed"
YS-054,Diff,Large and binary diff UX,"As a reviewer, I want large files collapsed and binary files sorted last so huge diffs stay navigable.","Diff view collapses files over 500 lines and moves binary files to the end of the file list.","README.md:65; v2/src/core/diff.mbt; v2/src/core/html.mbt","v2/e2e/feature_matrix_regression.ts","verified-pass","Large diff collapse and binary sort were README-level expectations without direct E2E before this pass","fixed","2026-06-22","feature_matrix_regression.ts passed"
YS-055,Theme,Theme toggle,"As a reviewer, I want light/dark theme toggle persisted so review remains comfortable across reloads.","Theme button toggles data-theme, persists to localStorage, and toggles back correctly.","v2/src/ui/app.mbt; README.md:97","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-056,Packaging,NPM package contents,"As a maintainer, I want npm packaging to include only runtime dist files and metadata so users install a small working CLI.","prepack builds release JS, writes executable dist/server/server.js, copies dist/ui/ui.js, and npm pack includes LICENSE, README files, dist files, package.json.","package.json:16; package.json:17","npm pack --dry-run manual","verified-pass","","none","2026-06-22","npm pack --dry-run for 2.1.0 passed"
YS-057,Plugin,Claude Code plugin assets,"As a Claude Code user, I want the plugin bundle to include skills, agents, hooks, and docs so yunomi workflows can be installed.","plugin/ contains README, skills, agents, hooks, hook handlers, and skill docs matching README plugin structure.","plugin/README.md; README.md:209","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts static plugin asset validation passed"
YS-058,Plugin,Task start and done skills,"As an AI agent, I want bundled do/done/tiny-do/tiny-done skills so task start, evidence, review, and completion workflows are repeatable.","Skills exist under plugin/skills and describe task start/completion workflows with verification and yunomi review expectations.","plugin/skills/do/SKILL.md; plugin/skills/done/SKILL.md; plugin/skills/tiny-do/SKILL.md; plugin/skills/tiny-done/SKILL.md","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts static task skill validation passed"
YS-059,Plugin,Exit notifier skill,"As an agent running long review servers, I want exit-notifier to report command completion back to the active pane so users know when jobs exit.","watch-exit-notify.sh wraps commands, captures exit status/output, and can target Herdr/tmux panes safely.","plugin/skills/exit-notifier/SKILL.md; plugin/skills/exit-notifier/scripts/watch-exit-notify.sh","not-yet-covered","verified-pass","","none","2026-06-22","used successfully during 2.1.0 verification"
YS-060,Plugin,Webapp testing skill,"As an agent, I want bundled webapp-testing guidance so frontend changes are verified with Playwright before reporting completion.","webapp-testing skill exists and instructs using permanent e2e files or Playwright verification for local apps.","plugin/skills/webapp-testing/SKILL.md; README.md:446","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts static webapp-testing skill validation passed"
YS-061,Comments,Mermaid comment affordance,"As a reviewer, I want Mermaid diagrams to expose the same top-right comment button as Markdown text, images, videos, and video thumbnails so every preview artifact has one obvious comment path.","Rendered Mermaid containers receive a single top-right comment button, the obsolete Mermaid fullscreen button is absent because diagram click opens fullscreen, the comment button opens the comment card for the diagram source range, and keyboard target enumeration includes Mermaid containers.","v2/src/ui/dom.mbt; v2/src/core/css.mbt; v2/src/ui/app.mbt; v2/src/core/markdown.mbt","v2/e2e/comment_shortcuts_regression.ts; v2/e2e/media_sidebar_regression.ts","verified-pass","","fixed","2026-06-23","comment_shortcuts_regression.ts verifies Mermaid button presence, fullscreen button absence, and click-to-comment behavior; media_sidebar_regression.ts verifies diagram click still opens fullscreen"
YS-062,Comments,Review comment location fidelity,"As a reviewer reading submitted YAML, I want each comment value to identify the exact reviewed target so the feedback is actionable without reopening the browser state.","Submitted comments include a client-provided value: table-cell comments include Markdown table row/column and cell text, video-thumbnail comments include timestamp and video src, and both include the source Markdown row.","v2/src/ui/app.mbt; v2/src/ui/dom.mbt","v2/e2e/comment_shortcuts_regression.ts","verified-pass","","fixed","2026-06-23","comment_shortcuts_regression.ts submits table-cell and video-thumbnail comments and asserts the verdict YAML contains reconstructable values"
